id,name,genus,type_1,type_2,color,generation,pokedex_entry
114,tangela,Vine Pokémon,grass,,blue,generation-i,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
115,kangaskhan,Parent Pokémon,normal,,brown,generation-i,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
116,horsea,Dragon Pokémon,water,,blue,generation-i,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,seadra,Dragon Pokémon,water,,blue,generation-i,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,goldeen,Goldfish Pokémon,water,,red,generation-i,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,seaking,Goldfish Pokémon,water,,red,generation-i,"In the autumn spawning season, they can be seen swimming power­ fully up rivers and creeks."
120,staryu,Star Shape Pokémon,water,,brown,generation-i,An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.
121,starmie,Mysterious Pokémon,water,psychic,purple,generation-i,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,mr-mime,Barrier Pokémon,psychic,fairy,pink,generation-i,"If interrupted while it is miming, it will slap around the offender with its broad hands."
123,scyther,Mantis Pokémon,bug,flying,green,generation-i,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,jynx,Human Shape Pokémon,ice,psychic,red,generation-i,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,electabuzz,Electric Pokémon,electric,,yellow,generation-i,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,magmar,Spitfire Pokémon,fire,,red,generation-i,Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,pinsir,Stag Beetle Pokémon,bug,,brown,generation-i,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,tauros,Wild Bull Pokémon,normal,,brown,generation-i,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,magikarp,Fish Pokémon,water,,red,generation-i,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,gyarados,Atrocious Pokémon,water,flying,blue,generation-i,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
131,lapras,Transport Pokémon,water,ice,blue,generation-i,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.
132,ditto,Transform Pokémon,normal,,purple,generation-i,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
133,eevee,Evolution Pokémon,normal,,brown,generation-i,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,vaporeon,Bubble Jet Pokémon,water,,blue,generation-i,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
135,jolteon,Lightning Pokémon,electric,,yellow,generation-i,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.
136,flareon,Flame Pokémon,fire,,red,generation-i,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,porygon,Virtual Pokémon,normal,,pink,generation-i,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,omanyte,Spiral Pokémon,rock,water,blue,generation-i,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,omastar,Spiral Pokémon,rock,water,blue,generation-i,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.
140,kabuto,Shellfish Pokémon,rock,water,brown,generation-i,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,kabutops,Shellfish Pokémon,rock,water,brown,generation-i,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.
142,aerodactyl,Fossil Pokémon,rock,flying,purple,generation-i,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs."
143,snorlax,Sleeping Pokémon,normal,,black,generation-i,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,articuno,Freeze Pokémon,ice,flying,blue,generation-i,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.
145,zapdos,Electric Pokémon,electric,flying,yellow,generation-i,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.
146,moltres,Flame Pokémon,fire,flying,yellow,generation-i,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,dratini,Dragon Pokémon,dragon,,blue,generation-i,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,dragonair,Dragon Pokémon,dragon,,blue,generation-i,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,dragonite,Dragon Pokémon,dragon,flying,brown,generation-i,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
150,mewtwo,Genetic Pokémon,psychic,,purple,generation-i,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,mew,New Species Pokémon,psychic,,pink,generation-i,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
152,chikorita,Leaf Pokémon,grass,,green,generation-ii,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.
153,bayleef,Leaf Pokémon,grass,,green,generation-ii,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
154,meganium,Herb Pokémon,grass,,green,generation-ii,The aroma that rises from its petals contains a substance that calms aggressive feelings.
155,cyndaquil,Fire Mouse Pokémon,fire,,yellow,generation-ii,"It is timid, and always curls it­ self up in a ball. If attacked, it flares up its back for protection."
156,quilava,Volcano Pokémon,fire,,yellow,generation-ii,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
157,typhlosion,Volcano Pokémon,fire,,yellow,generation-ii,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
158,totodile,Big Jaw Pokémon,water,,blue,generation-ii,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
159,croconaw,Big Jaw Pokémon,water,,blue,generation-ii,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
160,feraligatr,Big Jaw Pokémon,water,,blue,generation-ii,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
161,sentret,Scout Pokémon,normal,,brown,generation-ii,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
162,furret,Long Body Pokémon,normal,,brown,generation-ii,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.
163,hoothoot,Owl Pokémon,normal,flying,brown,generation-ii,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,noctowl,Owl Pokémon,normal,flying,brown,generation-ii,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
165,ledyba,Five Star Pokémon,bug,flying,red,generation-ii,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
166,ledian,Five Star Pokémon,bug,flying,red,generation-ii,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
167,spinarak,String Spit Pokémon,bug,poison,green,generation-ii,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
168,ariados,Long Leg Pokémon,bug,poison,red,generation-ii,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
169,crobat,Bat Pokémon,poison,flying,purple,generation-ii,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.
170,chinchou,Angler Pokémon,water,electric,blue,generation-ii,It shoots positive and negative elec­ tricity between the tips of its two antennae and zaps its enemies.
171,lanturn,Light Pokémon,water,electric,blue,generation-ii,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.
172,pichu,Tiny Mouse Pokémon,electric,,yellow,generation-ii,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
173,cleffa,Star Shape Pokémon,fairy,,pink,generation-ii,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
174,igglybuff,Balloon Pokémon,normal,fairy,pink,generation-ii,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
175,togepi,Spike Ball Pokémon,fairy,,white,generation-ii,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,togetic,Happiness Pokémon,fairy,flying,white,generation-ii,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness."
177,natu,Tiny Bird Pokémon,psychic,flying,green,generation-ii,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something."
178,xatu,Mystic Pokémon,psychic,flying,green,generation-ii,They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,mareep,Wool Pokémon,electric,,white,generation-ii,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you."
180,flaaffy,Wool Pokémon,electric,,pink,generation-ii,"As a result of storing too much electricity, it developed patches where even downy wool won't grow."
181,ampharos,Light Pokémon,electric,,yellow,generation-ii,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
182,bellossom,Flower Pokémon,grass,,green,generation-ii,BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.
183,marill,Aqua Mouse Pokémon,water,fairy,blue,generation-ii,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning."
184,azumarill,Aqua Rabbit Pokémon,water,fairy,blue,generation-ii,"By keeping still and listening in­ tently, it can tell what is in even wild, fast- moving rivers."
185,sudowoodo,Imitation Pokémon,rock,,brown,generation-ii,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant."
186,politoed,Frog Pokémon,water,,green,generation-ii,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide."
187,hoppip,Cottonweed Pokémon,grass,flying,pink,generation-ii,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
188,skiploom,Cottonweed Pokémon,grass,flying,green,generation-ii,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.
189,jumpluff,Cottonweed Pokémon,grass,flying,blue,generation-ii,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world."
190,aipom,Long Tail Pokémon,normal,,purple,generation-ii,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
191,sunkern,Seed Pokémon,grass,,yellow,generation-ii,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
192,sunflora,Sun Pokémon,grass,,yellow,generation-ii,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still."
193,yanma,Clear Wing Pokémon,bug,flying,red,generation-ii,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area."
194,wooper,Water Fish Pokémon,water,ground,blue,generation-ii,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.
195,quagsire,Water Fish Pokémon,water,ground,blue,generation-ii,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls."
196,espeon,Sun Pokémon,psychic,,purple,generation-ii,It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.
197,umbreon,Moonlight Pokémon,dark,,black,generation-ii,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores."
198,murkrow,Darkness Pokémon,dark,flying,black,generation-ii,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
199,slowking,Royal Pokémon,water,psychic,pink,generation-ii,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected."
200,misdreavus,Screech Pokémon,ghost,,gray,generation-ii,It likes playing mischievous tricks such as screaming and wailing to startle people at night.
201,unown,Symbol Pokémon,psychic,,black,generation-ii,Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related.
202,wobbuffet,Patient Pokémon,psychic,,blue,generation-ii,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike."
203,girafarig,Long Neck Pokémon,normal,psychic,yellow,generation-ii,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
204,pineco,Bagworm Pokémon,bug,,gray,generation-ii,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.
205,forretress,Bagworm Pokémon,bug,steel,purple,generation-ii,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.
206,dunsparce,Land Snake Pokémon,normal,,yellow,generation-ii,"When spotted, this POKéMON escapes backward by furi­ ously boring into the ground with its tail."
207,gligar,Fly Scorpion Pokémon,ground,flying,purple,generation-ii,It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.
208,steelix,Iron Snake Pokémon,steel,ground,gray,generation-ii,"Its body has been compressed deep under the ground. As a result, it is even harder than a diamond."
209,snubbull,Fairy Pokémon,fairy,,pink,generation-ii,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
210,granbull,Fairy Pokémon,fairy,,purple,generation-ii,"It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker."
211,qwilfish,Balloon Pokémon,water,poison,gray,generation-ii,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
212,scizor,Pincer Pokémon,bug,steel,red,generation-ii,It swings its eye- patterned pincers up to scare its foes. This makes it look like it has three heads.
213,shuckle,Mold Pokémon,bug,rock,yellow,generation-ii,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.
214,heracross,Single Horn Pokémon,bug,fighting,blue,generation-ii,This powerful POKéMON thrusts its prized horn under its enemies’ bellies then lifts and throws them.
215,sneasel,Sharp Claw Pokémon,dark,ice,black,generation-ii,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy."
216,teddiursa,Little Bear Pokémon,normal,,brown,generation-ii,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey."
